Time,IDX0GBPEURCR,IDX0USDEURCR,IDX0BRLEURCR,IDX0IDREURCR,IDX0CNYUSDCR,JPMEMUGBI,JPMUS3T5,JPMUS5T7,JPMUS7T10,JPEIGLBL,ER01,ER02,HE00,H0A0,EU0009658152,FTPTT100,GDUEEGF,MSCI0GDLETCF,SPTR,NASDAQ100,IDX00GOLDBUL,IDX000WTIOIL,IDX00DJUBSCM,JPMCASH3M
6/25/1999,-0.008696,-0.002679,-0.017031,0.073225,0.000567,-0.013949,-0.003979,-0.007797,-0.011085,-0.017241,-0.002332,-0.007819,0.005270,-0.000773,-0.021241,-0.014008,-0.006239,0.097096,-0.020466,-0.008932,-0.000395,0.005559,-0.000871,0.000440
7/2/1999,0.012749,0.018170,0.036734,0.009430,0.000478,0.000390,0.007977,0.011356,0.013755,0.014999,-0.000027,-0.001294,0.010114,0.005004,0.040192,0.008779,0.045931,0.095267,0.057991,0.074171,0.014555,0.088447,0.014776,0.000522
7/9/1999,-0.013704,0.005694,-0.017564,0.034219,0.000784,-0.005969,0.000476,0.000199,0.000037,-0.004882,-0.001164,-0.005501,0.000898,0.002543,0.019355,0.010979,0.007954,-0.032834,0.009055,0.019226,-0.020772,0.012697,-0.006239,0.000517
7/16/1999,0.008877,0.000004,0.009499,-0.004768,0.001062,0.000607,0.005770,0.008403,0.011206,-0.006762,-0.001023,-0.002554,0.002597,0.005909,-0.002534,0.000279,-0.012632,-0.073369,0.011126,0.027772,-0.008088,0.034102,0.009844,0.000452
7/23/1999,-0.018702,-0.028366,-0.037915,-0.061714,0.001450,0.004285,-0.002852,-0.005951,-0.008731,-0.010546,0.001594,0.005309,-0.004669,-0.003815,-0.057232,-0.054019,-0.035659,-0.033305,-0.043512,-0.064022,0.002673,-0.006305,0.027238,0.000552
7/30/1999,0.008309,-0.018847,-0.006675,-0.007726,0.001218,-0.007394,-0.002654,-0.004017,-0.004389,0.008297,-0.001467,-0.005129,-0.014433,-0.005297,-0.022810,0.004125,-0.012276,0.010363,-0.020541,-0.013506,0.004332,0.001952,-0.009097,0.000525
8/6/1999,-0.010152,-0.002391,-0.024073,-0.022363,0.001379,-0.010635,-0.002495,-0.004899,-0.006790,-0.019469,-0.003367,-0.009157,-0.016677,-0.008550,-0.030489,-0.017514,-0.032646,-0.045514,-0.020965,-0.025884,-0.000796,0.017048,0.037125,0.000525
8/13/1999,0.014205,0.017090,0.005061,-0.095360,0.002188,0.008766,0.002415,0.002144,0.001367,0.012350,0.003432,0.005947,-0.006917,0.000324,0.052504,0.022029,0.014345,-0.084799,0.021450,0.042904,0.017800,0.037835,0.002942,0.000525
8/20/1999,-0.002887,-0.009314,-0.018146,0.055734,0.010380,0.004044,0.003791,0.006172,0.007914,-0.002966,0.002654,0.006142,0.013191,0.000865,0.001391,-0.008046,0.007043,0.142275,0.006914,0.003472,-0.013704,-0.000923,0.005612,0.000585
8/27/1999,0.003553,0.020417,0.001221,0.000413,0.004161,0.000558,0.002193,0.003145,0.003540,0.014061,-0.000568,-0.000719,0.005952,0.001080,0.037504,0.031765,0.030228,-0.004390,0.008905,0.037796,-0.015813,-0.017552,-0.011761,0.000529
9/3/1999,-0.004788,-0.013425,0.002631,-0.044226,0.002076,-0.004989,0.001201,-0.000480,-0.001565,0.004866,0.000071,-0.003545,0.003744,-0.004280,-0.011202,-0.006728,-0.011814,-0.017130,0.007055,0.043337,0.000000,0.034321,0.018093,0.000533
9/10/1999,0.033742,0.023492,0.047838,-0.016042,0.002955,-0.004371,0.000994,0.001384,0.000882,0.020963,-0.000702,-0.001231,0.000209,-0.000230,0.020508,-0.021714,0.016189,0.083109,-0.003922,0.011138,0.009412,0.070455,0.033660,0.000558
9/17/1999,-0.001169,-0.004170,-0.004013,-0.007011,0.003642,0.001137,0.002130,0.002907,0.003280,-0.005653,0.001476,0.002091,-0.006972,0.000155,-0.035591,-0.024352,-0.016679,-0.042657,-0.011670,0.000907,-0.007726,0.050106,-0.006578,0.000562
9/24/1999,0.010554,-0.001000,-0.015637,-0.042013,0.002708,0.004021,0.004920,0.006840,0.009086,0.001895,0.001554,0.003113,0.001471,-0.001355,-0.015994,-0.016560,-0.014819,-0.046118,-0.043433,-0.054133,0.054299,0.025475,0.009310,0.000549
10/1/1999,-0.018873,-0.026122,-0.037117,0.048501,0.002384,-0.008547,-0.006893,-0.011053,-0.015261,-0.000522,-0.003750,-0.007155,0.000568,-0.006772,-0.012591,0.006291,-0.015171,-0.012430,0.004606,0.002030,0.131589,-0.032334,0.011031,-0.000454
10/8/1999,0.007426,0.009340,0.000998,0.047465,0.000812,-0.001445,-0.001305,-0.001597,-0.001653,0.016706,-0.000498,-0.000724,0.002892,0.002305,0.038979,0.038644,0.030641,-0.025792,0.041740,0.062763,0.053727,-0.148329,-0.055852,0.000536
10/15/1999,-0.012727,-0.023505,-0.033643,-0.047367,0.000839,-0.007360,-0.000169,-0.001254,-0.002194,-0.013864,-0.002511,-0.006641,0.002927,-0.002428,-0.038404,-0.046862,-0.023707,-0.083256,-0.066250,-0.059307,-0.016498,0.091866,0.040395,0.000497
10/22/1999,0.009105,0.019664,0.026686,0.172830,0.001251,0.001479,-0.002565,-0.004020,-0.006052,0.024863,0.000937,0.001064,-0.002371,-0.001121,0.038417,0.025701,0.000618,0.019978,0.043575,0.034150,-0.041420,0.016214,0.003578,0.000907
10/29/1999,0.009159,0.013935,0.027855,0.026366,0.001370,0.011090,0.007253,0.011738,0.015656,0.014416,0.002390,0.005169,0.005729,-0.000249,0.038187,0.032514,0.014042,0.005115,0.047348,0.060960,-0.009854,-0.062096,-0.028552,0.000824
11/5/1999,-0.002776,0.012832,0.030307,0.019276,0.001427,0.009029,0.004619,0.006972,0.008536,0.017968,0.002536,0.006294,0.006319,0.006691,0.023315,0.016251,0.051862,0.016617,0.005553,0.044839,-0.029970,0.057471,0.009618,0.000642
11/12/1999,0.007779,0.010513,0.005008,-0.031518,0.000829,0.005987,0.000004,0.000943,0.001401,0.011870,0.002804,0.006085,0.021032,0.001754,0.029938,0.024618,0.020584,-0.001542,0.019386,0.048340,0.008903,0.083043,0.017018,0.000810
11/19/1999,0.005109,0.002246,0.005231,0.014093,0.000845,-0.008333,-0.003274,-0.005884,-0.007163,-0.003404,-0.002124,-0.005282,-0.000118,0.001007,0.038493,-0.003879,0.014689,0.023927,0.018792,0.048437,0.011922,0.066238,0.011841,0.000667
11/26/1999,0.005268,0.013190,0.020159,-0.012171,0.000881,-0.006000,-0.001071,-0.001228,-0.002901,0.009575,-0.001206,-0.003895,0.000548,0.002534,0.020589,0.031434,-0.003478,-0.089340,-0.003644,0.028981,0.014785,0.030497,0.008113,0.000675
